Bibliography,,,,,,,,,
Title,Authors,Journal,Volume,Issue,Page,DOI,Year,Covidence ID,Author / Year 
Learning about TURFs and natural variability: Failure of surf clam management in Chile,"Aburto, J.; Stotz, W.",OCEAN & COASTAL MANAGEMENT,71,,88-89,10.1016/j.ocecoaman.2012.10.013,2013,#303,Aburto 2013
Territorial user rights for artisanal fisheries in Chile - intended and unintended outcomes,"Aburto, J.; Gallardo, G.; Stotz, W.; Cerda, C.; Mondaca-Schachermayer, C.; Vera, K.",OCEAN & COASTAL MANAGEMENT ,71,,284-295,10.1016/j.ocecoaman.2012.09.015,2013,#304,Aburto 2013
Social-Ecological Collapse: TURF Governance in the Context of Highly Variable Resources in Chile,"Aburto, Jaime A.; Stotz, Wolfgang B.; Cundill, Georgina",ECOLOGY AND SOCIETY ,19,1,,10.5751/ES-06145-190102,2014,#280,Aburto 2014
A large-scale marine protected area for the sea of Rapa Nui: From ocean grabbing to legitimacy,"Aburto, Jaime A.; Gaymer, Carlos F.; Govan, Hugh",OCEAN & COASTAL MANAGEMENT,198,,,10.1016/j.ocecoaman.2020.105327,2020,#121,Aburto 2020
Toward understanding the long-term persistence of a local governance system among artisanal fishers in Chile,"Aburto, Jaime A.; Stotz, Wolfgang; Cundill, Georgina; Tapia, Carlos",ECOLOGY AND SOCIETY,26,3,,10.5751/ES-12479-260305,2021,#92,Aburto 2021
Co-Management of Small-Scale Fisheries in Chile From a Network Governance Perspective,"Albornoz, Cristian; Glueckler, Johannes",ENVIRONMENTS ,7,12,,10.3390/environments7120104,2020,#122,Albornoz 2020
Legitimate network governance in small-scale fisheries in northern Chile,"Albornoz, Cristian; Panitz, Robert; Glueckler, Johannes",AREA DEVELOPMENT AND POLICY,9,2,204-227,10.1080/23792949.2023.2289368,2024,#50,Albornoz 2024
Increased Parasitism of Limpets by a Trematode Metacercaria in Fisheries Management Areas of Central Chile: Effects on Host Growth and Reproduction,"Aldana, Marcela; Pulgar, Jose M.; Orellana, Nathalie; Patricio Ojeda, F.; Roberto Garcia-Huidobro, M.",ECOHEALTH ,11,2,215-226,10.1007/s10393-013-0876-9,2014,#272,Aldana 2014
Predation and anthropogenic impact on community structure of boulder beaches,"Aldana, Marcela; Maturana, Diego; Pulgar, Jose; Garcia-Huidobro, M. Roberto",SCIENTIA MARINA ,80,4,543-551,10.3989/scimar.04444.27A,2016,#233,Aldana 2016
Can giant kelp (Macrocystis pyrifera) forests enhance invertebrate recruitment in southern Chile?,"Almanza, Viviana; Buschmann, Alejandro H.; Hernandez-Gonzalez, Maria C.; Henriquez, Luis A.",MARINE BIOLOGY RESEARCH,8,9,855-864,10.1080/17451000.2012.692159,2012,#316,Almanza 2012
The ecological importance of Macrocystis pyrifera (Phaeophyta) forests towards a sustainable management and exploitation of chilean coastal benthic co-management areas,"Almanza, V.; Buschmann, A.H.",International Journal of Environment and Sustainable Development ,12,4,341-360,10.1504/IJESD.2013.056331,2013,#657,Almanza 2013
"Monitoring the sustainability of Lessonia nigrescens (Laminariales, Phaeophyceae) in northern Chile under strong harvest pressure","Alonso Vega, J. M.; Broitman, Bernardo R.; Vasquez, Julio A.",JOURNAL OF APPLIED PHYCOLOGY,26,2,791-801,†10.1007/s10811-013-0167-4,2014,#276,AlonsoVega 2014
"The chemical composition of Lessonia berteroana (ex L. nigrescens) in kelp harvest management and open access areas near Coquimbo, Chile","Alonso Vega, J. M.; Toledo, Pedro H.",LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,46,2,258-267,10.3856/vol46-issue2-fulltext-2,2018,#192,AlonsoVega 2018
Toward marine democracy in Chile: Examining aquaculture ecological impacts through common property local ecological knowledge,"Anbleyth-Evans, Jeremy; Araos Leiva, Francisco; Ther Rios, Francisco; Segovia Cortes, Ricardo; Haussermann, Vreni; Aguirre-Munoz, Carolina",MARINE POLICY ,113,,,10.1016/j.marpol.2019.103690,2020,#146,Anbleyth-Evans 2020
Exploitation rates of two benthic resources across management regimes in central Chile: Evidence of illegal fishing in artisanal fisheries operating in open access areas,"Andreu-Cazenave, Miguel; Subida, Maria Dulce; Fernandez, Miriam",PLOS ONE†,12,6,,10.1371/journal.pone.0180012,2017,#215,Andreu-Cazenave 2017
Exploring the influence of upwelling on the total allowed catch and harvests of a benthic gastropod managed under a territorial user rights for fisheries regime along the Chilean coast,"Anguita, Cristobal; Gelcich, Stefan; Aldana, Marcela; Pulgar, Jose",OCEAN & COASTAL MANAGEMENT,195,,,10.1016/j.ocecoaman.2020.105256,2020,#133,Anguita 2020
Sustainability Analysis of the Benthic Fisheries Managed in the TURF System in Chile,"Arias, Natalia; Stotz, Wolfgang",INTERNATIONAL JOURNAL OF THE COMMONS,14,1,344-365,10.5334/ijc.1011,2020,#150,Arias 2020
Management policies impact fishers' income beyond tolerable limits: The case of the Chilean TURFs in Central Chile,"Arias, Natalia M.; Stotz, Wolfgang B.",MARINE POLICY ,157,,,10.1016/j.marpol.2023.105834,2023,#55,Arias 2023
"Growth and population structure of Argopecten purpuratus at La Rinconada Marine Reserve, Antofagasta, Chile","Avenda√±o, M; Cantill√°nez, M",CIENCIAS MARINAS,31,3,491-503,10.7773/cm.v31i3.46,2005,#395,AvendaÒo 2005
"Artificial collection and early growth of spat of the scallop Argopecten purpuratus (Lamarck, 1819), in La Rinconada Marine Reserve, Antofagasta, Chile","Castilla, J. C.; Campo, M. A.; Bustamante, R. H.",SCIENTIA MARINA,71,1,197-205,10.3989/scimar.2007.71n1197,2007,#381,Avendano 2007
"Effects of water depth on survival and growth of Argopecten purpuratus (Lamarck, 1819) spat in northern Chile","Gelcich, Stefan; Godoy, Natalio; Castilla, Juan C.",AQUACULTURE INTERNATIONAL,16,5,377-391,10.1007/s10499-007-9151-9,2008,#361,Avendano 2008
"Reproductive and larval cycle of the scallop Argopecten purpuratus (Ostreoida: Pectinidae), during E1 Nino La Nina events and normal weather conditions in Antofagasta, Chile","Avendano, Miguel; Cantillanez, Marcela; Thouzeau, Gerard",REVISTA DE BIOLOGIA TROPICAL,56,1,121-132,,2008,#367,Avendano 2008
