Bibliographic,,,,,,,,,,,,,,
ID,Author,Data point,Site name(s),"Type(s) of SMM

Reserve, Park, MEABR, MPA, Multiple use MPA, National protected asset",Seasonality of SMM,Age of SMM (years) (establishment-completed data collection),Size of SMM (ha),Description of location,Latitude,Longitude,Management information (fishing),Management information (excluding fishing),Governance,Study environment
#378,Castilla 2007,1,Las Cruces ECIM (Estacion Costera de Investigaciones Marinas),No-take MPA,N/A,20,Not given,"Punta El Lacho coast, Las Cruces",33°30? S, 71°38? W,"No take, Fencing","No access, Fencing",N/A,Inshore
#307,Gelcich 2012,1,"Las Cruces ECIM (Estacion Costera de Investigaciones Marinas)
",No-take MPA,N/A,27,20,Las Cruces,Not given,Not given,No-take,N/A,Pontificia Universidad Católica,Inshore
#307,Gelcich 2012,2,Unspecified / not named,TURF,N/A,7,40,"North of Algarrobo, 40km North of Las Cruces",Not given,Not given,Low-enforcement,N/A,Artisanal fishers,Inshore
#307,Gelcich 2012,3,El Quisco,TURF,N/A,12,180,El Quisco,Not given,Not given,High-enforcement,N/A,Artisanal fishers,Inshore
#307,Gelcich 2012,4,El Quisco,TURF,N/A,12,60,El Quisco,Not given,Not given,High-enforcement,N/A,Artisanal fishers,Inshore
#307,Gelcich 2012,5,El Quisco,TURF,N/A,12,40,El Quisco,Not given,Not given,High-enforcement,N/A,Artisanal fishers,Inshore
#307,Gelcich 2012,6,Unspecified / not named,TURF,N/A,7,120,Between Las Cruces and El Quisco,Not given,Not given,Low-enforcement,N/A,Artisanal fishers,Inshore
#307,Gelcich 2012,7,Unspecified / not named,TURF,N/A,7,175,Between Las Cruces and El Quisco,Not given,Not given,Low-enforcement,N/A,Artisanal fishers,Inshore
#276,AlonsoVega 2014,1,Isla Grande de Atacama,No-take MPA,N/A,26,N/A,Northern Chilean coast,"27,248° S","70,974° W",No harvest / extraction,N/A,N/A,Inshore
#276,AlonsoVega 2014,2,Isla Choros Marine Reserve,No-take MPA,N/A,N/A,N/A,Isla Choros,"29,259° S","71,535° W",N/A,N/A,N/A,Inshore
#276,AlonsoVega 2014,3,Totoral Bajo,MEABR ,N/A,N/A,N/A,Totoral Bajo,"27,757° S","71,064° W",N/A,N/A,N/A,Inshore
#276,AlonsoVega 2014,4,Caleta Angosta,MEABR ,N/A,N/A,N/A,Caleta Angosta,"28,250° S","71,163 ° W",N/A,N/A,N/A,Inshore
#276,AlonsoVega 2014,5,Lagunillas,MEABR ,N/A,N/A,N/A,Lagunillas,"30,103° S","71,383° W",N/A,N/A,N/A,Inshore
#276,AlonsoVega 2014,6,Talquilla,MEABR ,N/A,N/A,N/A,Talquilla,"30,864° S","71,683° W",N/A,N/A,N/A,Inshore
#222,Fernandez 2017,1,Las Cruces,No-take MPA,N/A,32,Not given,Las Cruces,"Between 32.6ºS 
and 33.5ºS",Not given,No-take,N/A,Not given,Inshore
