Bibliographic,,,Study methods,,,,,,,,,,Study outcomes,,,,,,,,,Effect size,,Comparator (spatial),,,,Comparator (temporal),,,,,,Reviewer comments,,,,,
Covidence ID,Citation,Data point,Study focus,Outcome measure focus,Source of data,Data type,Primary data collection method,Primary data collection method,Primary data collection method,Secondary data type,Secondary data source,Secondary data source,Outcome category,Analysis,Outcome measure,Taxon,Species,Unit,Additional treatment variables,Demographic groups,Qualitative analysis,Statistical analysis of impacts,Statistical methods,Number of reference sites (MPA),Number of comparator sites (OA),Number of reference sites (TURF),Number of reference sites (MEABR),Study start date,Study end date,Study duration,Number of time intervals,Before / after study,BACI study,,,,,,
#378,Castilla 2007,1,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Inferential analysis,Maximum holdfast diameter,Kelp,Durvillaea antarctica,cm,Habitat type,N/A,N/A,Yes,Kolmogorov-Smirnov test,1,1,0,0,1981,2002,21,22,Yes,Yes,,,,,,
#378,Castilla 2007,2,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Total average density,Kelp,Durvillaea antarctica,plants/m2,"Kelp age, habitat type",N/A,N/A,Yes,"ANOVA, GLM",1,1,0,0,1981,2002,21,22,Yes,Yes,,,,,,
#378,Castilla 2007,3,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Inferential analysis,Total biomass,Kelp,Durvillaea antarctica,kg/m2,"Kelp age, habitat type",N/A,N/A,Yes,"ANOVA, GLM",1,1,0,0,1981,2002,21,22,Yes,Yes,,,,,,
#378,Castilla 2007,4,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Population change,Inferential analysis,Compensatory effects,Kelp,Durvillaea antarctica,N/A,None,N/A,N/A,Yes,Ricker/Cook logistic model,1,1,0,0,1983,2002,19,20,No,No,Density-dependent compensatory effects using a stock-recruitment model,,,,,
#307,Gelcich 2012,1,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Mean density,Kelp,Lessonia trabeculata,individuals/m2,"Substrate, depth",N/A,N/A,Yes,ln response ratio,1,7,6,0,2009,2009,<1,1,No,No,"14 locations, only MPA location is given",,,,,
#307,Gelcich 2012,2,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Inferential analysis,Holdfast diameter,Kelp,Lessonia trabeculata,cm,N/A,N/A,N/A,Yes,ln response ratio,1,7,6,0,2009,2009,<1,1,No,No,,,,,,
#307,Gelcich 2012,3,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Inferential analysis,Mean biomass,Mobile macroinvertebrates,N/A,N/A,N/A,N/A,N/A,Yes,ln response ratio,1,7,6,0,2009,2009,<1,1,No,No,,,,,,
#307,Gelcich 2012,4,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Mean density,Mobile macroinvertebrates,N/A,individuals/200m2,N/A,N/A,N/A,Yes,ln response ratio,1,7,6,0,2009,2009,<1,1,No,No,,,,,,
#307,Gelcich 2012,5,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Inferential analysis,Mean biomass,Reef fish,N/A,N/A,N/A,N/A,N/A,Yes,"ln response ratio, MDS",1,7,6,0,2009,2009,<1,1,No,No,,,,,,
#307,Gelcich 2012,6,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Mean density,Reef fish,N/A,N/A,N/A,N/A,N/A,Yes,"ln response ratio, MDS",1,7,6,0,2009,2009,<1,1,No,No,,,,,,
#307,Gelcich 2012,7,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Richness,Inferential analysis,Relative Species richness,Mobile macroinvertebrates,N/A,ln response ratio,N/A,N/A,N/A,Yes,ln response ratio,1,7,6,0,2009,2009,<1,1,No,No,,,,,,
#276,AlonsoVega 2014,1,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Mean density,Kelp,Lessonia nigrescens,individuals/m2,Kelp age,N/A,N/A,Yes,ANOVA,2,4,0,4,2006,2008,2,9,No,No,,,,,,
#276,AlonsoVega 2014,2,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Inferential analysis,Biomass,Kelp,Lessonia nigrescens,kg/m2,None,N/A,N/A,Yes,ANOVA,2,4,0,4,2006,2008,2,9,No,No,,,,,,
#276,AlonsoVega 2014,3,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Descriptive,Holdfast diameter,Kelp,Lessonia nigrescens,cm,Kelp age,N/A,N/A,Yes,ANOVA,2,4,0,4,2006,2008,2,9,No,No,,,,,,
#276,AlonsoVega 2014,4,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Descriptive,Harvestable individuals (%),Kelp,Lessonia nigrescens,%,None,N/A,N/A,No,N/A,2,4,0,4,2006,2008,2,9,No,No,,,,,,
#222,Fernandez 2017,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Inferential analysis,Body size,Keyhole limpet,Fissurella latimarginata,cm,Upwelling,N/A,N/A,Yes,ANOVA,1,5,4,0,2012,2014,2,1,No,No,anova = effect of management regime (turf and no-take are pooled),,,,,
#222,Fernandez 2017,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Biomass,Inferential analysis,Body dry weight,Keyhole limpet,Fissurella latimarginata,mg,Upwelling,N/A,N/A,Yes,ANOVA,1,5,4,0,2012,2014,2,1,No,No,,,,,,
#222,Fernandez 2017,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Reproductive output,Inferential analysis,Gonadosomatic Index,Keyhole limpet,Fissurella latimarginata,GSI,Upwelling,N/A,N/A,Yes,ANOVA,1,5,4,0,2012,2014,2,1,No,No,,,,,,
#222,Fernandez 2017,4,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Inferential analysis,Body size,Red sea urchin,Loxechinus albus,cm,Upwelling,N/A,N/A,Yes,ANOVA,1,5,4,0,2012,2014,2,1,No,No,,,,,,
#222,Fernandez 2017,5,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Biomass,Inferential analysis,Body dry weight,Red sea urchin,Loxechinus albus,mg,Upwelling,N/A,N/A,Yes,ANOVA,1,5,4,0,2012,2014,2,1,No,No,,,,,,
#222,Fernandez 2017,6,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Reproductive output,Inferential analysis,Gonadosomatic Index,Red sea urchin,Loxechinus albus,GSI,Upwelling,N/A,N/A,Yes,ANOVA,1,5,4,0,2012,2014,2,1,No,No,,,,,,
#215,Andreu-Cazenave 2017,1,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Fishing pressure,Inferential analysis,Total Instantaneous Mortality,Loco,Concholepas concholepas,Z,Site,N/A,N/A,Yes,ANOVA,1,19,5,0,1999,2013,14,13,No,No,,,,,,
#215,Andreu-Cazenave 2017,2,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Fishing pressure,Inferential analysis,Total Instantaneous Mortality,Keyhole limpets,Fissurella spp,Z,Site,N/A,N/A,Yes,ANOVA,1,19,5,0,1999,2013,14,13,No,No,,,,,,
#101,Gonzalez-Roca 2021,1,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,National Fisheries Service,N/A,Biomass,Inferential analysis,Biomass,Kelp,Lessonia spp,kg/m2,Site,N/A,N/A,Yes,Permanova,2,2,2,0,2006,2017,11,3,No,No,,,,,,
#101,Gonzalez-Roca 2021,2,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,National Fisheries Service,N/A,Density,Inferential analysis,Density,Kelp,Lessonia spp,individuals/m2,Site,N/A,N/A,Yes,Permanova,2,2,2,0,2006,2017,11,3,No,No,R-III and R-IV,,,,,
#101,Gonzalez-Roca 2021,3,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,National Fisheries Service,N/A,Size,Inferential analysis,Holdfast diameter,Kelp,Lessonia spp,cm,Kelp age,N/A,N/A,Yes,Permanova,2,2,2,0,2006,2017,11,3,No,No,Kelp size structure is density within classes,,,,,
#37,Lopez 2024,1,Environmental,Environmental,Mixed,Quantitative,Direct non-extractive sampling,N/A,N/A,Landing data,"National Fisheries Service, SUBPESCA",,Biomass,Inferential analysis,Biomass,Kelp,Durvillaea incurvata,kg/m2,"Season, stranded",N/A,N/A,Yes,Permanova,2,5,5,0,2021,2023,2,3,No,No,,,,,,
#37,Lopez 2024,2,Environmental,Environmental,Mixed,Quantitative,Direct non-extractive sampling,N/A,N/A,Landing data,"National Fisheries Service, SUBPESCA",,Density,Inferential analysis,Density,Kelp,Durvillaea incurvata,individuals/m2,"Season, stranded",N/A,N/A,Yes,Permanova,2,5,5,0,2021,2023,2,3,No,No,,,,,,
